Model_name,Year_model,Manufacturer,Car_name,Type,Condition,Distance,Color,Body_type,Fuel_type,Engine_cc,Price
سكودا اوكتافيا 2022,2022,سكودا,اوكتافيا,أوتوماتيك,مستعملة,120000,Black,Sedan,Gas,1400.0,1320000
فيات بونتو 2017,2017,فيات,بونتو,أوتوماتيك,مستعملة,140000,Black,Hatchback,Gas,1400.0,520000
فولفو S60 2018,2018,فولفو,S60,أوتوماتيك,مستعملة,167000,Black,Sedan,Gas,1600.0,1100000
شانجان CS35 PLUS 2024,2024,شانجان,CS35 PLUS,أوتوماتيك,مستعملة,18000,Maroon,SUV,Gas,1400.0,1050000
فولكس فاجن جيتا 2006,2006,فولكس فاجن,جيتا,أوتوماتيك,مستعملة,272000,Blue,Sedan,Gas,1600.0,530000
سيات تاراكو 2021,2021,سيات,تاراكو,أوتوماتيك,مستعملة,82000,Silver,SUV,Gas,1400.0,1350000
شيفروليه ماليبو 2021,2021,شيفروليه,ماليبو,أوتوماتيك,مستعملة,68000,Maroon,Sedan,Gas,1500.0,1300000
ستروين C5 اير كروس 2021,2021,ستروين,C5 اير كروس,أوتوماتيك,مستعملة,126500,Silver,Hatchback,Gas,1600.0,1250000
مرسيدس E300 2024,2024,مرسيدس,E300,أوتوماتيك,جديدة,0,Black,Sedan,Hybrid,2000.0,5100000
ميتسوبيشي كولت 1998,1998,ميتسوبيشي,كولت,مانيوال,مستعملة,299000,Red,Coupe,Gas,1500.0,245000
إم جي 5 2026,2026,إم جي,5,أوتوماتيك,جديدة,0,Black,Sedan,Gas,1500.0,890000
ميني كوبر 2021,2021,ميني,كوبر,أوتوماتيك,مستعملة,128000,Gray,Hatchback,Gas,1500.0,1250000
شيفروليه افيو 2008,2008,شيفروليه,افيو,مانيوال,مستعملة,285183,Baby Blue,Sedan,Gas,1500.0,285000
رينج روفر ايفوك 2026,2026,رينج روفر,ايفوك,أوتوماتيك,جديدة,0,Gray,SUV,Hybrid,2000.0,4000000
بي ام دبليو 318i 2016,2016,بي ام دبليو,318i,أوتوماتيك,مستعملة,124000,Black,Sedan,Gas,1400.0,1300000
نيسان قشقاي 2018,2018,نيسان,قشقاي,أوتوماتيك,مستعملة,130000,Blue,SUV,Gas,1200.0,790000
سكودا كودياك 2026,2026,سكودا,كودياك,أوتوماتيك,جديدة,0,Black,SUV,Gas,1400.0,2450000
رينو ميجان 2020,2020,رينو,ميجان,أوتوماتيك,مستعملة,90000,Maroon,Sedan,Gas,1600.0,690000
لاند روفر رانج روفر ايفوك 2023,2023,لاند روفر,رانج ايفوك,أوتوماتيك,مستعملة,37000,Black,SUV,Gas,2000.0,3500000
شيفروليه لانوس 2017,2017,شيفروليه,لانوس,مانيوال,مستعملة,159000,Dark Grey,Sedan,Gas,1500.0,335000
مرسيدس CLA 180 2014,2014,مرسيدس,CLA 180,أوتوماتيك,مستعملة,200000,Red,Sedan,Gas,1600.0,1100000
بيجو 307 2007,2007,بيجو,307,أوتوماتيك,مستعملة,36000,Black,Hatchback,Gas,1600.0,550000
سكودا كودياك 2026,2026,سكودا,كودياك,أوتوماتيك,جديدة,0,White,SUV,Gas,1400.0,3100000
سكودا سوبيرب 2026,2026,سكودا,سوبيرب,أوتوماتيك,جديدة,0,White,Sedan,Gas,2000.0,2950000
سكودا كودياك 2025,2025,سكودا,كودياك,أوتوماتيك,جديدة,0,Gold,SUV,Gas,1400.0,2250000
أودي A5 2026,2026,أودي,A5,أوتوماتيك,جديدة,0,Silver,Sedan,Gas,2000.0,3850000
سكودا كاروك 2025,2025,سكودا,كاروك,أوتوماتيك,جديدة,0,Dark Grey,SUV,Gas,1400.0,1800000
فيات ماريا 2001,2001,فيات,ماريا,مانيوال,مستعملة,25000,Silver,Station,Gas,1600.0,280000
رينو لوجان 2010,2010,رينو,لوجان,مانيوال,مستعملة,319000,Black,Sedan,Gas,1600.0,260000
بيجو RCZ 2012,2012,بيجو,RCZ,أوتوماتيك,مستعملة,190000,White,Coupe,Gas,1600.0,900000
مرسيدس GLC 300 2020,2020,مرسيدس,GLC 300,أوتوماتيك,مستعملة,120000,Black,Coupe,Gas,2000.0,3500000
جيتور X95 2022,2022,جيتور,X95,أوتوماتيك,مستعملة,76000,Black,SUV,Gas,1600.0,1200000
بي ام دبليو X1 2024,2024,بي ام دبليو,X1,أوتوماتيك,مستعملة,500,Gray,SUV,Gas,1600.0,3150000
تويوتا راش 2020,2020,تويوتا,راش,أوتوماتيك,مستعملة,95000,Black,SUV,Gas,1500.0,900000
بي ام دبليو X3 2013,2013,بي ام دبليو,X3,أوتوماتيك,مستعملة,280000,Black,SUV,Gas,2000.0,1000000
مرسيدس C200 2022,2022,مرسيدس,C200,أوتوماتيك,مستعملة,80000,Black,Sedan,Gas,1600.0,3150000
هيونداى فيرنا 2010,2010,هيونداى,فيرنا,مانيوال,مستعملة,200,Maroon,Sedan,Gas,1600.0,300000
هيونداى النترا MD 2012,2012,هيونداى,النترا MD,أوتوماتيك,مستعملة,173000,Silver,Sedan,Gas,1600.0,650000
كيا K8 2023,2023,كيا,K8,أوتوماتيك,مستعملة,20000,White,Sedan,Gas,1600.0,2300000
مرسيدس CLA 180 2022,2022,مرسيدس,CLA 180,أوتوماتيك,مستعملة,39000,White,Coupe,Gas,1300.0,2100000
دايو لانوس 1997,1997,دايو,لانوس,مانيوال,مستعملة,317000,Maroon,Sedan,Gas,1500.0,240000
بيجو 5008 2019,2019,بيجو,5008,أوتوماتيك,مستعملة,275000,Green,SUV,Gas,1600.0,970000
نيسان قشقاي 2016,2016,نيسان,قشقاي,أوتوماتيك,مستعملة,97000,Brown,SUV,Gas,1300.0,690000
كيا بيكانتو 2008,2008,كيا,بيكانتو,أوتوماتيك,مستعملة,137000,Gray,Hatchback,Gas,1100.0,388000
رينو داستر 2021,2021,رينو,داستر,أوتوماتيك,مستعملة,24000,Gray,SUV,Gas,1600.0,850000
مرسيدس E200 2026,2026,مرسيدس,E200,أوتوماتيك,جديدة,0,Black,Sedan,Gas,2000.0,5340000
مرسيدس CLA 200 2023,2023,مرسيدس,CLA 200,أوتوماتيك,جديدة,0,White,Sedan,Gas,1400.0,3000000
كيا K3 2024,2024,كيا,K3,أوتوماتيك,جديدة,0,White,Sedan,Gas,1600.0,1235000
شيفروليه اوبترا 2026,2026,شيفروليه,اوبترا,أوتوماتيك,جديدة,0,Red,Sedan,Gas,1500.0,750000
مرسيدس C180 2024,2024,مرسيدس,C180,أوتوماتيك,مستعملة,7000,Red,Sedan,Gas,1500.0,2700000
بي ام دبليو 320i 2026,2026,بي ام دبليو,320i,أوتوماتيك,جديدة,0,Gray,Sedan,Gas,1600.0,3475000
مرسيدس SLC 180 2018,2018,مرسيدس,SLC 180,أوتوماتيك,مستعملة,5000,Silver,Cabriolet,Gas,1600.0,3350000
ميني John Cooper Works 2025,2025,ميني,John Cooper Works,أوتوماتيك,مستعملة,10000,Black,SUV,Gas,2000.0,2600000
مرسيدس E200 2006,2006,مرسيدس,E200,أوتوماتيك,مستعملة,156000,Black,Sedan,Gas,2000.0,850000
مرسيدس GLE 450 2023,2023,مرسيدس,GLE 450,أوتوماتيك,مستعملة,5000,Black,SUV,Gas,3000.0,5700000
فولكس فاجن باسات فاريانت 2009,2009,فولكس فاجن,باسات فاريانت,أوتوماتيك,مستعملة,230000,Gray,Station,Gas,1600.0,660000
سكودا كودياك 2025,2025,سكودا,كودياك,أوتوماتيك,جديدة,0,Gray,SUV,Gas,1400.0,2700000
فولكس فاجن تيجوان 2024,2024,فولكس فاجن,تيجوان,أوتوماتيك,جديدة,0,Red,SUV,Gas,1500.0,1975000
سكودا اوكتافيا 2026,2026,سكودا,اوكتافيا,أوتوماتيك,جديدة,0,Dark Grey,Sedan,Gas,1400.0,1850000
شيري تيجو 3 2022,2022,شيري,تيجو 3,أوتوماتيك,مستعملة,83835,Navy Blue,Hatchback,Natural Gas,1600.0,650000
رينو تاليانت 2026,2026,رينو,تاليانت,أوتوماتيك,جديدة,0,Gray,Sedan,Gas,1000.0,735000
بي ام دبليو X3 2014,2014,بي ام دبليو,X3,أوتوماتيك,مستعملة,123000,Black,SUV,Gas,1600.0,1300000
شيفروليه الدبابة TFR 2026,2026,شيفروليه,الدبابة TFR,مانيوال,جديدة,0,White,Pickup,Diesel,2500.0,970000
بروتون ساجا 2026,2026,بروتون,ساجا,أوتوماتيك,جديدة,0,Black,Sedan,Gas,1300.0,635000
شيفروليه اوبترا 2026,2026,شيفروليه,اوبترا,أوتوماتيك,جديدة,0,Silver,Sedan,Gas,1500.0,740000
كايي X7 2026,2026,كايي,X7,أوتوماتيك,جديدة,0,White,SUV,Gas,1600.0,1425000
شيفروليه اوبترا 2026,2026,شيفروليه,اوبترا,أوتوماتيك,جديدة,0,Red,Sedan,Gas,1500.0,750000
هيونداى ماتريكس 2008,2008,هيونداى,ماتريكس,مانيوال,مستعملة,157000,Black,SUV,Gas,1600.0,375000
أوبل أسترا 2017,2017,أوبل,أسترا,أوتوماتيك,مستعملة,180000,Silver,Sedan,Gas,1400.0,700000
أودي A3 2010,2010,أودي,A3,أوتوماتيك,مستعملة,160000,White,Coupe,Gas,2000.0,650000
سيات ارونا 2021,2021,سيات,ارونا,أوتوماتيك,مستعملة,110000,Silver,SUV,Diesel,1600.0,1080000
فولكس فاجن باسات 2015,2015,فولكس فاجن,باسات,أوتوماتيك,مستعملة,319000,Beige,Sedan,Gas,1400.0,700000
سوزوكي ديزاير 2026,2026,سوزوكي,ديزاير,أوتوماتيك,جديدة,0,Gray,Sedan,Gas,1500.0,815000
لادا جرانتا 2022,2022,لادا,جرانتا,أوتوماتيك,مستعملة,50000,Blue,Sedan,Gas,1600.0,475000
بيجو 3008 2025,2025,بيجو,3008,أوتوماتيك,جديدة,0,Silver,SUV,Gas,1600.0,1650000
ميتسوبيشي اكسباندر 2025,2025,ميتسوبيشي,اكسباندر,أوتوماتيك,جديدة,0,White,SUV,Gas,1500.0,1280000
مرسيدس C200 2023,2023,مرسيدس,C200,أوتوماتيك,مستعملة,16000,Black,Cabriolet,Gas,1500.0,3550000
ساوايست S 06 2026,2026,ساوايست,S 06,أوتوماتيك,جديدة,0,Beige,SUV,Gas,1600.0,1384000
سوزوكي إسبريسو 2026,2026,سوزوكي,إسبريسو,أوتوماتيك,جديدة,0,Orange,Hatchback,Gas,1000.0,635000
سوزوكي سويفت 2026,2026,سوزوكي,سويفت,أوتوماتيك,جديدة,0,Red,Hatchback,Gas,1200.0,795000
فولكس فاجن باراتى 2006,2006,فولكس فاجن,باراتى,مانيوال,مستعملة,129000,Red,Hatchback,Gas,1600.0,245000
ساوايست S 09 2026,2026,ساوايست,S 09,أوتوماتيك,جديدة,0,Black,SUV,Gas,1600.0,1650000
نيسان بلوبيرد 2011,2011,نيسان,بلوبيرد,أوتوماتيك,مستعملة,100000,Bronze,Sedan,Gas,1600.0,510000
فيات 128 نوفا 1991,1991,فيات,128 نوفا,مانيوال,مستعملة,97000,Red,Sedan,Gas,1300.0,67000
بي ام دبليو X7 2023,2023,بي ام دبليو,X7,أوتوماتيك,مستعملة,300,Black,SUV,Gas,4400.0,8200000
سوزوكي بالينو 2025,2025,سوزوكي,بالينو,أوتوماتيك,جديدة,0,Red,SUV,Gas,1500.0,900000
ميني كوبر 2024,2024,ميني,كوبر,أوتوماتيك,مستعملة,21000,Blue,Hatchback,Gas,1500.0,1790000
شيري تيجو 7 2026,2026,شيري,تيجو 7,أوتوماتيك,جديدة,0,White,SUV,Gas,1500.0,1010000
دودج رام 2008,2008,دودج,رام,أوتوماتيك,مستعملة,400000,Red,Pickup,Gas,5700.0,1300000
نيسان صني 2026,2026,نيسان,صني,أوتوماتيك,جديدة,0,Gray,Sedan,Gas,1500.0,780000
مرسيدس S63 2025,2025,مرسيدس,S63,أوتوماتيك,جديدة,0,Black,Sedan,Hybrid,4000.0,2900000
رينو داستر 2026,2026,رينو,داستر,أوتوماتيك,جديدة,0,Green,SUV,Gas,1300.0,1320000
بي ام دبليو X1 2025,2025,بي ام دبليو,X1,أوتوماتيك,جديدة,0,Blue,SUV,Gas,1500.0,2800000
بيجو 5008 2021,2021,بيجو,5008,أوتوماتيك,مستعملة,91000,Gray,SUV,Gas,1600.0,1170000
رينو أوسترال 2026,2026,رينو,أوسترال,أوتوماتيك,جديدة,0,Blue,SUV,Gas,1300.0,1740000
مرسيدس E200 2015,2015,مرسيدس,E200,أوتوماتيك,مستعملة,130000,Champagne,Sedan,Gas,1800.0,1650000
إم جي 5 2026,2026,إم جي,5,أوتوماتيك,جديدة,0,Black,Sedan,Gas,1500.0,890000
رينج روفر ايفوك 2024,2024,رينج روفر,ايفوك,أوتوماتيك,مستعملة,5000,Gray,SUV,Gas,1500.0,3750000
بي ام دبليو X1 2026,2026,بي ام دبليو,X1,أوتوماتيك,جديدة,0,Champagne,SUV,Gas,1500.0,3350000
رينو فلوانس 2014,2014,رينو,فلوانس,أوتوماتيك,مستعملة,185000,Beige,Sedan,Gas,1600.0,530000
أودي Q3 2026,2026,أودي,Q3,أوتوماتيك,جديدة,0,Gray,SUV,Gas,1400.0,2725000
كي جي إم أكتيون 2025,2025,كي جي إم,أكتيون,أوتوماتيك,جديدة,0,Gold,SUV,Gas,1500.0,2300000
أودي Q8 2025,2025,أودي,Q8,أوتوماتيك,جديدة,0,Black,SUV,Gas,3000.0,6900000
مرسيدس E200 2019,2019,مرسيدس,E200,أوتوماتيك,مستعملة,31831,Black,Sedan,Gas,2000.0,3500000
بي ام دبليو 520i 2019,2019,بي ام دبليو,520i,أوتوماتيك,مستعملة,80000,White,Sedan,Gas,1600.0,2000000
إم جي ZS 2026,2026,إم جي,ZS,أوتوماتيك,جديدة,0,Silver,SUV,Gas,1500.0,1080000
هيونداى I30 2026,2026,هيونداى,I30,أوتوماتيك,جديدة,0,Silver,Sedan,Gas,1200.0,1100000
هيونداى سولاريس 2016,2016,هيونداى,سولاريس,أوتوماتيك,مستعملة,200000,Blue,Sedan,Gas,1400.0,470000
دودج رام 2021,2021,دودج,رام,أوتوماتيك,مستعملة,70000,Black,Pickup,Gas,5700.0,3500000
سكودا سوبيرب 2026,2026,سكودا,سوبيرب,أوتوماتيك,جديدة,0,Gray,Sedan,Gas,2000.0,2900000
أوبل أسترا 2008,2008,أوبل,أسترا,أوتوماتيك,مستعملة,185000,Black,Hatchback,Gas,1600.0,300000
بي ام دبليو X3 2016,2016,بي ام دبليو,X3,أوتوماتيك,مستعملة,200000,Navy Blue,SUV,Gas,2000.0,1450000
سكودا كودياك 2025,2025,سكودا,كودياك,أوتوماتيك,مستعملة,19000,Black,SUV,Gas,1400.0,2200000
سكودا كاروك 2026,2026,سكودا,كاروك,أوتوماتيك,جديدة,0,Gray,SUV,Gas,1400.0,1900000
رينو لوجان 2018,2018,رينو,لوجان,أوتوماتيك,مستعملة,214000,Brown,Sedan,Gas,1600.0,430000
سكودا اوكتافيا 2026,2026,سكودا,اوكتافيا,مانيوال,جديدة,0,Gray,Sedan,Gas,1400.0,1800000
مرسيدس CLA 200 2024,2024,مرسيدس,CLA 200,أوتوماتيك,جديدة,0,White,Sedan,Gas,1300.0,2700000
نيسان صني 2026,2026,نيسان,صني,أوتوماتيك,جديدة,0,Silver,Sedan,Gas,1600.0,850000
مرسيدس C180 2023,2023,مرسيدس,C180,أوتوماتيك,مستعملة,30000,Black,Sedan,Gas,1500.0,2550000
سكودا كودياك 2025,2025,سكودا,كودياك,أوتوماتيك,جديدة,0,Black,SUV,Gas,1500.0,2550000
بي ام دبليو 530i 2018,2018,بي ام دبليو,530i,أوتوماتيك,مستعملة,75000,White,Sedan,Gas,2000.0,2550000
مرسيدس GLC 300 COUPE 2024,2024,مرسيدس,GLC 300 COUPE,أوتوماتيك,مستعملة,12,Black,SUV,Gas,2000.0,4850000
إم جي 7 2026,2026,إم جي,7,أوتوماتيك,جديدة,0,Red,Sedan,Gas,1500.0,1730000
شيري اريزو 8 2026,2026,شيري,اريزو 8,أوتوماتيك,جديدة,0,White,Sedan,Gas,1600.0,1350000
بيجو 5008 2026,2026,بيجو,5008,أوتوماتيك,جديدة,0,Silver,SUV,Gas,1600.0,2500000
شانجان CS55 بلس 2026,2026,شانجان,CS55 بلس,أوتوماتيك,جديدة,0,Dark Grey,SUV,Gas,1500.0,1080000
سيات ليون 2026,2026,سيات,ليون,أوتوماتيك,جديدة,0,Blue,Hatchback,Gas,1400.0,1475000
نيسان قشقاي 2026,2026,نيسان,قشقاي,أوتوماتيك,جديدة,0,Black,SUV,Gas,1300.0,1770000
سيات ليون 2026,2026,سيات,ليون,أوتوماتيك,جديدة,0,Navy Blue,Hatchback,Gas,1400.0,1485000
نيسان جوك 2026,2026,نيسان,جوك,أوتوماتيك,جديدة,0,Blue,Hatchback,Gas,1000.0,1225000
تويوتا كورولا 2026,2026,تويوتا,كورولا,أوتوماتيك,جديدة,0,Dark Grey,Sedan,Gas,1600.0,1450000
شيري تيجو 4 برو 2026,2026,شيري,تيجو 4 برو,أوتوماتيك,جديدة,0,Maroon,SUV,Gas,1500.0,980000
أودي A3 2025,2025,أودي,A3,أوتوماتيك,جديدة,0,Gray,Sedan,Gas,1400.0,2300000
بيجو 3008 2026,2026,بيجو,3008,أوتوماتيك,جديدة,0,Dark Grey,SUV,Gas,1600.0,2250000
سيات ليون 2026,2026,سيات,ليون,أوتوماتيك,جديدة,0,Dark Grey,Hatchback,Gas,1400.0,1500000
فيات 500X 2026,2026,فيات,500X,أوتوماتيك,جديدة,0,Blue,Hatchback,Gas,1400.0,955000
كايي X7 2026,2026,كايي,X7,أوتوماتيك,جديدة,0,Black,SUV,Gas,1600.0,1440000
كيا سبورتاج 2026,2026,كيا,سبورتاج,أوتوماتيك,جديدة,0,White,SUV,Gas,1600.0,2330000
كيا سبورتاج 2026,2026,كيا,سبورتاج,أوتوماتيك,جديدة,0,Silver,SUV,Gas,1600.0,1835000
شيري تيجو 7 2026,2026,شيري,تيجو 7,أوتوماتيك,جديدة,0,Silver,SUV,Gas,1500.0,1025000
سوزوكي سويفت 2026,2026,سوزوكي,سويفت,أوتوماتيك,جديدة,0,Dark Grey,Hatchback,Gas,1200.0,850000
أودي A5 2026,2026,أودي,A5,أوتوماتيك,جديدة,0,White,Sedan,Gas,2000.0,3700000
بايك U5 Plus 2025,2025,بايك,U5 Plus,أوتوماتيك,جديدة,0,White,Sedan,Gas,1500.0,818000
سكودا كودياك 2026,2026,سكودا,كودياك,أوتوماتيك,جديدة,0,Silver,SUV,Gas,1400.0,2750000
جيتور T1 2026,2026,جيتور,T1,أوتوماتيك,جديدة,0,Baby Blue,SUV,Gas,1500.0,1650000
جيتور T2 2026,2026,جيتور,T2,أوتوماتيك,جديدة,0,Gray,SUV,Gas,1500.0,1840000
كيا سبورتاج 2026,2026,كيا,سبورتاج,أوتوماتيك,جديدة,0,Gray,SUV,Gas,1600.0,2190000
نيسان سنترا 2026,2026,نيسان,سنترا,أوتوماتيك,جديدة,0,Black,Sedan,Gas,1600.0,900000
كيا سبورتاج 2026,2026,كيا,سبورتاج,أوتوماتيك,جديدة,0,White,SUV,Gas,1600.0,2030000
بيجو 408 2026,2026,بيجو,408,أوتوماتيك,جديدة,0,Blue,Sedan,Gas,1600.0,2200000
رينج روفر Autobiography 2024,2024,رينج روفر,Autobiography,أوتوماتيك,جديدة,0,White,SUV,Gas,4400.0,13900000
بورش كاريرا 911 2025,2025,بورش,كاريرا 911,أوتوماتيك,جديدة,0,White,Coupe,Gas,3000.0,11750000
بورش ماكان 2026,2026,بورش,ماكان,أوتوماتيك,جديدة,0,White,SUV,Gas,2000.0,5650000
مرسيدس GLC 300 COUPE 2025,2025,مرسيدس,GLC 300 COUPE,أوتوماتيك,جديدة,0,Dark Grey,SUV,Gas,2000.0,5000000
مرسيدس E200 2024,2024,مرسيدس,E200,أوتوماتيك,جديدة,0,White,Sedan,Gas,1500.0,4800000
بورش كايين كوبيه 2025,2025,بورش,كايين كوبيه,أوتوماتيك,جديدة,0,Black,Coupe,Gas,3000.0,8300000
رينج روفر SVR 2024,2024,رينج روفر,SVR,أوتوماتيك,مستعملة,21000,Black,SUV,Gas,4400.0,16000000
بورش كايين S 2025,2025,بورش,كايين S,أوتوماتيك,جديدة,0,Gray,SUV,Gas,4000.0,11300000
بورش ماكان 2025,2025,بورش,ماكان,أوتوماتيك,جديدة,0,White,SUV,Gas,3000.0,5400000
رينج روفر Autobiography 2025,2025,رينج روفر,Autobiography,أوتوماتيك,جديدة,0,Black,SUV,Gas,4400.0,15500000
مرسيدس V 250 2022,2022,مرسيدس,V 250,أوتوماتيك,مستعملة,13000,Black,Van,Gas,2000.0,5800000
مرسيدس CLA 200 2023,2023,مرسيدس,CLA 200,أوتوماتيك,مستعملة,17000,Black,Sedan,Gas,1300.0,2400000
بورش كايمن  718 2024,2024,بورش,كايمن 718,أوتوماتيك,مستعملة,4200,Black,Coupe,Gas,2000.0,5300000
مرسيدس V300 2025,2025,مرسيدس,V300,أوتوماتيك,جديدة,0,Black,Van,Gas,2000.0,6000000
بورش كايين كوبيه 2025,2025,بورش,كايين كوبيه,أوتوماتيك,جديدة,0,Blue,Coupe,Gas,3000.0,9200000
مرسيدس C180 2026,2026,مرسيدس,C180,أوتوماتيك,جديدة,0,White,Sedan,Gas,1500.0,3800000
بورش ماكان 2025,2025,بورش,ماكان,أوتوماتيك,جديدة,0,White,Sedan,Gas,3000.0,5400000
بي ام دبليو M8 2025,2025,بي ام دبليو,M8,أوتوماتيك,جديدة,0,White,Coupe,Gas,4400.0,17500000
مرسيدس CLA 200 2024,2024,مرسيدس,CLA 200,أوتوماتيك,جديدة,0,Blue,Sedan,Gas,1500.0,2800000
رينج روفر فيلار 2025,2025,رينج روفر,فيلار,أوتوماتيك,جديدة,0,Dark Grey,SUV,Gas,2000.0,6100000
بورش كايين S 2025,2025,بورش,كايين S,أوتوماتيك,جديدة,0,Dark Grey,SUV,Gas,4000.0,11300000
مرسيدس G 63 2026,2026,مرسيدس,G 63,أوتوماتيك,مستعملة,43,Black,SUV,Gas,4000.0,18500000
مرسيدس GLC 300 COUPE 2024,2024,مرسيدس,GLC 300 COUPE,أوتوماتيك,جديدة,0,Black,Coupe,Gas,1500.0,5100000
بورش باناميرا 2022,2022,بورش,باناميرا,أوتوماتيك,مستعملة,17000,Silver,Sedan,Gas,2000.0,10500000
بورش كايين S 2025,2025,بورش,كايين S,أوتوماتيك,جديدة,0,White,SUV,Gas,3300.0,11300000
مرسيدس E200 2025,2025,مرسيدس,E200,أوتوماتيك,مستعملة,4000,White,Sedan,Gas,2000.0,4800000
بورش ماكان 2025,2025,بورش,ماكان,أوتوماتيك,جديدة,0,Black,SUV,Gas,2000.0,5400000
بي ام دبليو M850i 2021,2021,بي ام دبليو,M850i,أوتوماتيك,مستعملة,10000,White,Sedan,Gas,3000.0,7800000
رينج روفر ايفوك 2026,2026,رينج روفر,ايفوك,أوتوماتيك,جديدة,0,Black,SUV,Hybrid,2000.0,4000000
بيجو 3008 2020,2020,بيجو,3008,أوتوماتيك,مستعملة,29500,Black,SUV,Gas,1600.0,1350000
جيتور X70 Plus CKD 2023,2023,جيتور,X70 Plus CKD,أوتوماتيك,مستعملة,15500,White,SUV,Natural Gas,1600.0,1050000
كيا إكسيد 2022,2022,كيا,إكسيد,أوتوماتيك,مستعملة,75000,Black,SUV,Gas,1500.0,1100000
اسبيرانزا A113 2009,2009,اسبيرانزا,A113,مانيوال,مستعملة,81500,Gray,Hatchback,Gas,1300.0,230000
أوبل أسترا 2016,2016,أوبل,أسترا,أوتوماتيك,مستعملة,212000,Black,Sedan,Gas,1600.0,550000
بيجو 508 2020,2020,بيجو,508,أوتوماتيك,مستعملة,123000,Silver,Sedan,Gas,1600.0,1120000
كيا ريو 2004,2004,كيا,ريو,مانيوال,مستعملة,255000,Red,Sedan,Gas,1500.0,280000
بي ام دبليو 320i 2016,2016,بي ام دبليو,320i,أوتوماتيك,مستعملة,185000,Navy Blue,Sedan,Gas,2000.0,1350000
أوبل انسيجنيا 2014,2014,أوبل,انسيجنيا,أوتوماتيك,مستعملة,170000,Black,Sedan,Gas,1600.0,675000
شيري اريزو 5 2022,2022,شيري,اريزو 5,أوتوماتيك,مستعملة,84000,Blue,Sedan,Gas,1500.0,590000
سوزوكي سياز 2022,2022,سوزوكي,سياز,أوتوماتيك,مستعملة,133000,Bronze,Sedan,Gas,1500.0,700000
شيري تيجو 3 2021,2021,شيري,تيجو 3,أوتوماتيك,مستعملة,70500,Blue,SUV,Diesel,1600.0,630000
ميتسوبيشي اكليبس كروس 2024,2024,ميتسوبيشي,اكليبس كروس,أوتوماتيك,مستعملة,45000,Black,SUV,Gas,1500.0,1300000
جيلي ايمجراند اكس 7 2019,2019,جيلي,ايمجراند اكس 7,أوتوماتيك,مستعملة,95000,Black,Hatchback,Gas,1300.0,550000
بي ام دبليو X1 2024,2024,بي ام دبليو,X1,أوتوماتيك,مستعملة,5000,Blue,SUV,Gas,1500.0,2900000
مرسيدس C180 2020,2020,مرسيدس,C180,أوتوماتيك,مستعملة,80000,Black,Sedan,Gas,1500.0,2075000
ميتسوبيشي باجيرو 2009,2009,ميتسوبيشي,باجيرو,أوتوماتيك,مستعملة,330000,Silver,SUV,Gas,3800.0,1050000
رينو MCV لوجان 2017,2017,رينو,MCV لوجان,أوتوماتيك,مستعملة,300000,Gray,Sedan,Gas,1600.0,400000
فولكس فاجن باسات 2021,2021,فولكس فاجن,باسات,أوتوماتيك,مستعملة,190000,Silver,Sedan,Gas,1400.0,1290000
أودي Q3 2015,2015,أودي,Q3,أوتوماتيك,مستعملة,180000,Silver,Sedan,Gas,1600.0,1150000
أوبل أسترا 2019,2019,أوبل,أسترا,أوتوماتيك,مستعملة,134000,Green,Sedan,Gas,1400.0,715000
رينو ميجان 2023,2023,رينو,ميجان,أوتوماتيك,مستعملة,69000,Dark Grey,Sedan,Gas,1300.0,1040000
جيب شيروكى 2009,2009,جيب,شيروكى,أوتوماتيك,مستعملة,220000,Silver,SUV,Gas,3800.0,675000
بيجو 3008 2025,2025,بيجو,3008,أوتوماتيك,مستعملة,13000,Blue,SUV,Gas,1600.0,1950000
مرسيدس C180 2023,2023,مرسيدس,C180,أوتوماتيك,مستعملة,80000,Black,Sedan,Gas,1500.0,2470000
نيسان صني 2012,2012,نيسان,صني,أوتوماتيك,مستعملة,188000,Silver,Sedan,Gas,1600.0,434000
ميتسوبيشي لانسر 2007,2007,ميتسوبيشي,لانسر,أوتوماتيك,مستعملة,223000,Gray,Sedan,Gas,1600.0,390000
هيونداى جينيسيس 2013,2013,هيونداى,جينيسيس,أوتوماتيك,مستعملة,72000,Silver,Sedan,Gas,3500.0,1650000
دايو نوبيرا 2007,2007,دايو,نوبيرا,مانيوال,مستعملة,205000,Green,Sedan,Gas,1600.0,200000
فولكس فاجن باسات 2020,2020,فولكس فاجن,باسات,أوتوماتيك,مستعملة,178000,Dark Grey,Sedan,Gas,1400.0,1500000
أودي A3 2019,2019,أودي,A3,أوتوماتيك,مستعملة,137000,Gray,Sedan,Gas,1000.0,1350000
هيونداى فيرنا 2007,2007,هيونداى,فيرنا,مانيوال,مستعملة,154000,Gray,Sedan,Gas,1500.0,330000
لاند روفر رانج روفر 2017,2017,لاند روفر,رانج,أوتوماتيك,مستعملة,71000,Gray,SUV,Gas,5000.0,4950000
نيسان بلوبيرد 2009,2009,نيسان,بلوبيرد,أوتوماتيك,مستعملة,282000,Black,Sedan,Gas,1600.0,350000
ميتسوبيشي أتراج 2014,2014,ميتسوبيشي,أتراج,أوتوماتيك,مستعملة,166000,Gray,Sedan,Gas,1200.0,400000
بي ام دبليو 740Li 2018,2018,بي ام دبليو,740Li,أوتوماتيك,مستعملة,157000,Gray,Sedan,Gas,3000.0,2950000
